Compound,spacegroup_sym,volume_from_file,volume_from_mp,band_gap,no_query_match,no_struct_match
Al2O3,R-3c,255.6945018,87.42000774,5.8537,0,0
BaSnO3,Pm-3m,69.77170029,73.48813545,0.3784,0,0
BaTiO3,P4/mmm,64.28157136,,,0,1
Ca2AlFeO5,Ima2,438.1228736,,,0,1
Ca2Fe2O5,Pnma,448.5376682,466.115624,0.8683,0,0
CaO,Fm-3m,111.6459545,28.3320955,3.6447,0,0
CdS,F-43m,198.1960765,52.4182329,1.0461,0,0
CdS,P6_3mc,99.51931464,104.8628628,1.1162,0,0
Ce2O3,Ia-3,1485.446221,684.8563587,0,0,0
CeO2,Fm-3m,158.5512448,40.85964193,1.8671,0,0
Co3O4,Fd-3m,524.5816746,134.7573053,0,0,0
CoO,Fm-3m,77.47221945,39.88865057,0,0,0
Cr2O3,R-3c,289.2420433,101.6762368,2.4343,0,0
CrO3,Ama2,235.3451134,136.0208054,2.2759,0,0
CrPbO3,Pm-3m,64.25955008,,,0,1
CuO,C2/c,80.82022094,,,0,1
Er2O3,Ia-3,1169.572871,587.2017637,3.964,0,0
Eu2O3,Ia-3,1283.766541,661.7898125,0,0,0
Fe2O3,R-3c,302.7219917,105.4300473,1.5284,0,0
FeO,Fm-3m,80.95795798,20.11212075,0,0,0
FeS2,Pa-3,159.9350019,156.9385526,0.4567,0,0
GdTiO3,Pnma,235.2201388,239.2307753,0,0,0
Ho2O3,Ia-3,1193.815955,597.2937434,3.9498,0,0
KVO3,Pbcm,317.3401459,339.2718634,3.0413,0,0
La2CoO4,Cmce,378.0601978,,,0,1
La2CuO4,Cmce,379.5221246,194.5415966,0,0,0
La2O3,P-3m1,82.2403015,83.016871,3.8444,0,0
La2Zr2O7,Fd-3m,1259.607027,323.072734,3.741,0,0
LaCrO3,Pnma,234.5304391,246.434939,2.1645,0,0
LaFeO3,Pnma,242.9007134,251.9360976,1.3629,0,0
LaMnO3,Pnma,244.7963549,255.6597093,0,0,0
LaRhO3,Pnma,248.6757763,257.8919351,0.594,0,0
LaVO3,P2_1/c,241.5360918,,,1,0
LaVO3,Pnma,242.1498506,252.5674555,0.998,0,0
LaYbO3,Pnma,295.9407759,,,1,0
Lu2O3,Ia-3,1113.223109,556.7324249,4.0233,0,0
MgO,Fm-3m,74.99128631,19.27936732,4.4449,0,0
Mn2O3,Ia-3,834.4601822,444.4958125,0,0,0
MnO,Fm-3m,87.88370854,45.38663889,1.9546,0,0
MnO2,P4_2/mnm,55.57830822,58.267207,0,0,0
MoO3,Pnma,202.9493413,215.3524639,1.9539,0,0
MoS2,R3m,159.8108426,116.636611,1.2284,0,0
Nd2O3,P-3m1,75.99626828,77.88104196,3.8338,0,0
NdMnO3,Pnma,239.2538138,246.1688394,0,0,0
NiO,Fm-3m,72.92984775,37.156656,2.3228,0,0
NiO2,R-3m,99.77534685,32.5470337,1.5218,0,0
PbO,P4/nmm,79.32678562,86.40066929,1.5253,0,0
PbTiO3,P4mm,63.27761022,,,1,0
PdO,P4_2/mmc,48.429324,52.36489145,0,0,0
Pr2O3,Ia-3,1438.30504,719.4810412,3.6593,0,0
Pr2O3,P-3m1,77.54541183,80.81541582,3.7756,0,0
PrMnO3,Pnma,240.2829797,251.8162695,0.059,0,0
PrO2,Fm-3m,156.7651963,46.91162932,0,0,0
PtO2,Pnnm,63.81816495,67.03811671,0.6039,0,0
Rh2O3,R-3c,315.3560018,110.411222,0.6208,0,0
Rh2O3,Pbcn,201.4478784,211.561143,0.5649,0,0
SiO2,P3_221,113.2481514,117.9253744,5.7087,0,0
Sm2O3,Ia-3,1302.170688,665.4177039,3.7823,0,0
Sm2O3,C2/m,448.7716366,229.2662722,3.7497,0,0
Sm2O3,C2/m,448.7716366,229.2662722,3.7497,0,0
SnO,P4/nmm,69.84965538,75.28543629,0.4093,0,0
SnO2,P4_2/mnm,71.53260411,75.73395853,0.6519,0,0
Sr2CrO4,I4/mmm,187.0985929,94.46206774,0.029,0,0
Sr2La2Fe2O7.84,I4/mmm,190.0508715,,,1,0
Sr2MnO4,I4/mmm,180.9837383,93.98849109,0.0237,0,0
Sr2SnO4,I4/mmm,208.3167263,107.6839807,2.583,0,0
Sr2TiO4,I4/mmm,190.2896294,97.82960225,1.9142,0,0
Sr2VO4,I4/mmm,184.783494,95.21615974,0,0,0
SrCeO3,Pnma,316.8221906,325.3742181,2.2802,0,0
SrLaCoO4,I4/mmm,181.2999835,,,1,0
SrLaCrO4,I4/mmm,185.0074119,,,1,0
SrLaVO4,I4/mmm,190.894032,,,1,0
SrMnO3,P6_3/mmc,232.7542229,246.2439795,0.8363,0,0
SrMnO3,Pm-3m,55.0498037,58.5375533,0,0,0
SrPrO3,Pnma,312.9440814,350.2207962,0,0,0
SrSnO3,Pnma,262.5925903,275.7145922,1.7412,0,0
SrTiO3,Pm-3m,59.54744262,61.40220947,1.7828,0,0
TiO2,P4_2/mnm,62.37408243,63.49224796,1.781,0,0
Tm2O3,Ia-3,1140.511035,574.7412587,3.9804,0,0
Yb2O3,Ia-3,1135.344639,613.3868483,0,0,0
YbO,Fm-3m,116.0000741,26.77707061,3.4728,0,0
ZnO,P6_3mc,47.77343656,49.71872305,0.7317,0,0
ZnS,P6_3mc,79.23078495,81.16636031,2.0801,0,0
ZnS,F-43m,160.4570865,40.47567514,2.0186,0,0