Compound,Elements,Tmit,Ti,Rm,Ri,Ri/Rm,Structure,HT Sym,LT Sym,Comments,doi,Average,Spread,Bandgap,Bandgap_doi,Bandgap Comments,Temp_range,dR/dT,metal,oxidation_state
Ag2BiO3,Ag_Bi_O,614,394,8885,69280450,3.891953268,,,Pnn2,Charge ordered? Semiconducting phase from twinning. Further transitions from ortho→monoclinic at 100K but this does not affect charge ordering ,https://doi.org/10.1016/j.solidstatesciences.2006.02.002,,,,,,,,Bi,4
AlV2O4,Al_V_O,700,690,0.104,0.14,0.129094696,Spinel,Fd-3m,,"Polycrystalline, not really MIT, charge ordering?",http://dx.doi.org/10.1143/JPSJ.70.1456,0.122,0.018,0.25,https://doi.org/10.1088/0953-8984/26/1/015601,,10,-0.01290947,V,2.5
BaVS3,Ba_V_S,82,27.561,0.025,41.039,3.215256761,NiAs type,P6_3/mmc,Cmc21,"Single Crystal current along c axis, needed dividing by 351 to match inconsistent scale",http://dx.doi.org/10.1016/0022-3697(79)90164-1,,,0.15,https://doi.org/10.1103/PhysRevB.70.035110,,54.439,-0.059061643,V,4
BaVS3-x,Ba_V_S,150,14.872,0.02,91570,6.660723219,NiAs type,P6_3/mmc,Cmc21,"Single Crystal current along c axis, sulfur deficient in unknown amount, needed scaling by 0.01 to match reported values",http://dx.doi.org/10.1016/0022-3697(79)90164-1,45785.01,45784.99,0.15,https://doi.org/10.1103/PhysRevB.70.035110,,135.128,-0.049291954,V,4
Bi0.4Ca0.6MnO3,Bi_Ca_Mn_O,324,277,0.0586,0.228349179,0.590701839,Perovskite,,,Very weak,https://doi.org/10.1103/PhysRevB.63.134412,0.14347459,0.08487459,0.26,https://doi.org/10.1088/0953-8984/19/44/442001,,47,-0.012568124,Mn,3.6
Bi0.6Ca0.4MnO3,Bi_Ca_Mn_O,312.3,265.4,2.569223952,20.86322949,0.909579573,Perovskite,,,,https://doi.org/10.1103/PhysRevB.63.134412,,,,,,46.9,-0.019394021,Mn,3.4
CaCu2.9Fe4O12,Ca_Cu_Fe_O,219,174,0.0246,0.0646,0.419297411,,Im-3,Pn-3,"Synthesized at high pressure, charge ordering",https://doi.org/10.1088/0022-3727/48/50/504006,,,,,,45,-0.00931772,Fe,4.05
CaFeO3,Ca_Fe_O,288,95,0.0025,2.372,2.977174676,Perovskite,Pnma,P121/c1,Very broad transition to insulator,https://doi.org/10.1103/PhysRevB.66.193103,1.18725,1.18475,0.03,https://doi.org/10.1103/PhysRevB.66.193103,Experimental for Fe-O-Fe angle 158 and Fe-O_long/Fe-O_short = 1.022,193,-0.015425776,Fe,4
CaMn7O12,Ca_Mn_O,445,417,0.104192836,1.433724631,1.138627887,,Im-3,R-3,,https://doi.org/10.1103/PhysRevB.58.14903,0.768958734,0.664765898,0.38,https://doi.org/10.1103/PhysRevB.91.064422,"""Experimental <0.38 at RT""",28,-0.040665282,Mn,3.14
Ca2RuO4,Ca_Ru_O,357,,1,63.09573445,1.8,,Pbca,Pbca,,https://doi.org/10.1143/JPSJ.66.1868,32.04786722,31.04786722,0.2,https://doi.org/10.1103/PhysRevLett.81.2747,,,,Ru,4
CuIr2S4,Cu_Ir_S,230,,0.004,1.27,2.50174373,Spinel,Fd-3m,I41/amd,Polycrystalline,http://dx.doi.org/10.1143/JPSJ.63.3333,0.637,0.633,0.15,https://doi.org/10.1103/PhysRevLett.95.246401,,,,Ir,3
EuO,Eu_O,69,,,,,Rocksalt,Fm-3m,,,https://doi.org/10.1103/PhysRevB.8.2299,,,1.1,https://doi.org/10.1103/PhysRevB.69.241203,,,,Eu,2
Fe3O4,Fe_O,120,,1400,39000,1.444936571,Spinel,Fd-3m,Pmc21,"Single Crystal, [111]",https://doi.org/10.1103/PhysRev.78.458,20200,18800,0.14,doi: 10.1103/PhysRevB.69.165107,,,,Fe,2.67
FeS,Fe_S,416.8146214,,0.000578659,0.014034228,1.384765728,,Pnma,P-62/c,,http://dx.doi.org/10.1143/JPSJ.16.187,0.007306444,0.006727785,0.95,https://doi.org/10.1103/PhysRevB.84.245211,,,,Fe,2
K0.3MoO3,K_Mo_O,180,,,,,,C12/m1,C12/m1,,http://dx.doi.org/10.1103/PhysRevB.65.233105,,,,,,,,Mo,5.7
K2V8O16,K_V_O,170,,0.00029,0.032,2.04275198,,I4/m,I2/m,"Single Crystal, along c, might be alpha prime phase",http://dx.doi.org/10.1143/JPSJ.75.073801,0.016145,0.015855,0.23,arxiv.org/pdf/0811.4338,,,,V,3.75
La0.2Sr0.8FeO2.7,La_Sr_Fe_O,200.255,152.966,28195.167,741758.743,1.420088003,,R-3c,,,https://doi.org/10.1016/S0955-2219(98)00467-1,,,,,,47.289,,Fe,3.2
La0.4Sr0.6MnO2.76,La_Sr_Mn_O,118.517,83.101,80.28,3690.496,1.662477375,,I4/mcm,Fmmm,,https://doi.org/10.1016/S0955-2219(98)00467-1,,,,,,35.416,,Mn,3.12
La0.7Ca0.3MnO3,La_Ca_Mn_O,250,,0.006309573,0.063095734,1,Perovskite,Pnma,Pnma,0.25≤x≤0.5 and 200<Tmit<300,http://dx.doi.org/10.1016/j.physb.2016.10.017,0.034702654,0.028393081,1,https://doi.org/10.1016/j.physb.2005.10.135,Thin Film,,,Mn,3.3
La0.33Sr0.67FeO3,La_Sr_Fe_O,198,,0.13,0.545,0.62245315,Perovskite,R-3c,,,https://doi.org/10.1103/PhysRevB.66.193103,0.3375,0.2075,0.14,https://doi.org/10.1103/PhysRevB.60.4605,,,,Fe,3.67
La4Ru2O10,La_Ru_O,160,,100000,,,,P21/c,P-1,,https://doi.org/10.1126/science.1075556,50000,-50000,0.2,10.1126/science.1075556,Single crystal low T,,,Ru,4
La1.67Sr0.33NiO4,La_Sr_Ni_O,240,,0.025118864,25.11886432,3,RP,I4/mmm,,,https://doi.org/10.1103/PhysRevB.49.7088,12.57199159,12.54687273,0.26,https://doi.org/10.1103/PhysRevB.54.R14230,,,,Ni,2.39
LaCoO3,La_Co_O,500,,0.002,0.07,1.544068044,Perovskite,R-3c,R-3c,Single Crystals,https://doi.org/10.1103/PhysRevB.58.R1699,0.036,0.034,0.6,https://doi.org/10.1016/j.physb.2012.11.002,,,,Co,3
LiRh2O4,Li_Rh_O,170,,0.035,2.2,1.798354636,Spinel,,,"Polycrystalline, not really MIT, need to find structure",https://doi.org/10.1103/PhysRevLett.101.086404,1.1175,1.0825,0.15,https://doi.org/10.1103/PhysRevB.83.115120,0.15-0.2,,,Rh,3.5
LiVO2,Li_V_O,490,,0.17,0.42,0.392800369, NaFeO2-type,R-3m,R-3m,"Single Crystal, ab plane, not really MIT",http://dx.doi.org/10.1016/j.materresbull.2004.03.024,0.295,0.125,0.14,https://arxiv.org/abs/1702.06524,,,,V,3
MgTi2O4,Mg_Ti_O,250,,0.25,0.77,0.488550717,Spinel,Fd-3m,P41212,Polycrystalline,http://dx.doi.org/10.1143/JPSJ.71.1848,0.51,0.26,0.25,http://dx.doi.org/10.1103/PhysRevB.78.125105,,,,Ti,3
NbO2,Nb_O,1070,,0.05,0.72,1.158362492,Rutile,P42/mnm,I41/a,4probe pellet,http://dx.doi.org/10.1016/0022-4596(73)90219-3,0.385,0.335,0.25,10.1063/1.3253115,,,,Nb,4
Nd2Ir2O7 ,Nd_Ir_O,27,,0.000630957,0.794328235,3.1,Pyrochlore,Fd-3m,,,https://doi.org/10.1038/nphys3567,0.397479596,0.396848639,0.04,https://doi.org/10.1038/nphys3567,,,,Ir,4
NdCoO3,Nd_Co_O,,,,,,,,,,http://dx.doi.org/10.1103/PhysRevB.79.134103,,,,,,,,Co,3
NdNiO3,Nd_Ni_O,200,,0.000966,0.3144,2.512505411,Perovskite,Pbnm,P2_1/n,Polycrystalline,https://doi.org/10.1103/PhysRevB.47.12357,0.157683,0.156717,0.2,https://doi.org/10.1103/PhysRevB.51.4830,,,,Ni,3
NiS,Ni_S,260,,0.00045,0.00335,0.871832293,,P63/mmc,P63mc,"Polycrystalline, widely different heating/cooling",http://dx.doi.org/10.1143/JPSJ.55.2531,0.0019,0.00145,0.14,https://doi.org/10.1103/PhysRevB.10.987,,,,Ni,2
NiS1.5Se0.5,Ni_S_Se,60,,,,,Pyrite,Pa-3,,Single Crystal (0.4≤x≤0.6 and 0<Tmit<125) ,http://dx.doi.org/10.1143/JPSJ.50.3835,,,0.16,https://doi.org/10.1103/PhysRevB.21.2328,0 K band gap,,,Ni,4
Pb3Rh7O15,Pb_Rh_O,180,109,0.001678048,0.044472105,1.423283357,,P63/mcm,,"Single crystal, charge ordering", http://dx.doi.org/10.1088/0256-307X/34/8/087201,,,,,,,,Rh,3.43
PrCoO3,Pr_Co_O,,,,,,,,,,http://dx.doi.org/10.1103/PhysRevB.79.134103,,,,,,,,Co,3
PrNiO3,Pr_Ni_O,136,,0.00022,0.144,2.815939811,Perovskite,Pbnm,P2_1/n,Polycrystalline,https://doi.org/10.1103/PhysRevB.47.12357,0.07211,0.07189,0.6,https://doi.org/10.1103/PhysRevB.52.13865,,,,Ni,3
SmNiO3,Sm_Ni_O,403,,0.001628333,0.039810717,1.388256777,Perovskite,Pbnm,P2_1/n,,https://doi.org/10.1088/0953-8984/11/2/007,0.020719525,0.019091192,0.3,10.1038/ncomms5860,,,,Ni,3
SrFeO2.8,Sr_Fe_O,70,,3.981071706,630.9573445,2.2,,Fm-3c,,,https://doi.org/10.1103/PhysRevB.73.094451,317.4692081,313.4881364,1.8,https://dx.doi.org/10.1039/C2CE25751C,,,,Fe,3.6
Ti2O3,Ti_O,450,,0.001258925,0.017782794,1.15,Corundum,R-3c,R-3c,,http://dx.doi.org/10.1063/1.2163536,0.00952086,0.008261934,0.04,10.1063/1.3253115,,,,Ti,3
Ti3O5,Ti_O,450,,0.01,2,2.301029996,,C12/c1,P12/a1,,https://doi.org/10.1021/cg5013439,,,0.07,10.1021/cg5013439,,,,Ti,3.33
Ti4O7,Ti_O,149,,0.00048,0.741,3.188576971,,P-1,P-1,"Single crystal, along b axis, at 125K another decrease of 3 orders of resistivity",https://doi.org/10.1103/PhysRev.187.828,0.37074,0.37026,0.15,https://doi.org/10.1103/PhysRevB.14.1429,,,,Ti,3.5
TiS2,Ti_O,574.308094,,0.049475759,0.125702532,0.404951555,,P-3m1,,,http://dx.doi.org/10.1080/01411599008206868,,,1.95,10.1063/1.3253115,,,,Ti,4
Tl2Ru2O7,Tl_Ru_O,100,,0.0015,0.06,1.602059991,Pyrochlore,Fd-3m,,High oxygen pressure synthesis,https://doi.org/10.1006/jssc.1998.7848,,,,,,,,Ru,5
V2O3,V_O,160,,0.013,5000,5.585026652,Corundum,R-3c,C12/c1,"Single crystals, 2 probe, along c",https://doi.org/10.1103/PhysRevLett.3.34,2500.0065,2499.9935,0.1,10.1063/1.3253115,,,,V,3
V2O3,V_O,150,,0.000501187,1000,6.3,Corundum,R-3c,C12/c1,,http://doi.org/10.1103/PhysRevB.7.1920,500.0002506,499.9997494,0.1,10.1063/1.3253115,,,,V,3
V3O5,V_O,428,,0.01,0.630957344,1.8,,C12/c1,P12/c1,,http://dx.doi.org/10.1134/S106378341112002X,,,0.62,http://dx.doi.org/10.1016/0038-1098(78)91492-8,,,,V,3.33
V4O7,V_O,250,,0.003162278,0.112201845,1.55,,P-1,P-1,,http://dx.doi.org/10.1016/0022-4596(73)90233-8,,,0.8,10.1063/1.3253115,,,,V,3.5
V5O9,V_O,135,,0.001584893,114.8153621,4.86,,P-1,P-1,,https://doi.org/10.1109/TMAG.1972.1067354,,,0.15,10.1063/1.3253115,,,,V,3.6
V6O11,V_O,176,,0.01,63.09573445,3.8,,P-1,,,https://doi.org/10.1109/TMAG.1972.1067354,,,0.7,10.1021/acs.jpclett.5b00710,,,,V,3.67
V6O13,V_O,152,148,0.0044,339.156,4.886946828,,C12/m1,P121/a1,"Single Crystal, along c",https://doi.org/10.1016/0022-0248(74)90265-6,,,0.2,10.1016/j.elspec.2005.01.169,,,,V,4.33
V8O15,V_O,70,,0.001,15.84893192,4.2,,P-1,,,https://doi.org/10.1109/TMAG.1972.1067354,,,0.566,10.17188/1272463,,,,V,3.75
VO,V_O,122,,0.012,4576,5.58130477,,Fm-3m,,"Single crystals, 2 probe, along [100]",https://doi.org/10.1103/PhysRevLett.3.34,2288.006,2287.994,0.3,10.1063/1.3253115,,,,V,2
VO2,V_O,340,,0.005,0.5,2,Rutile,P42/mnm,P12/m1,"Single crystals, 2 probe, along c",https://doi.org/10.1103/PhysRevLett.3.34,0.2525,0.2475,0.65,10.1063/1.3253115,,,,V,4
Ca2RuO4,Ca_Ru_O,356.2402089,,1.14075148,15.82272152,1.142090144,,Pbca,Pbca,From Daryl Schlom,,,,,,,,,Ru,4
EuO,Eu_O,57.96344648,,0.004552464,2.93E+11,13.80828337,,Fm-3m,,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.5.3669,,,,,,,,Eu,2
Fe3O4,Fe_O,120.6266319,,0.02802364,2.280239115,1.910455848,,Fd-3m,Pmc21,From Daryl Schlom,https://doi.org/10.1103/RevModPhys.29.279,,,,,,,,Fe,2.67
La0.825Sr0.175MnO3,La_Sr_Fe_O,212.1148825,,0.007111048,0.057798201,0.909980699,,R-3c,R-3c,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.60.13011,,,,,,,,Mn,3.175
La0.7Ca0.3MnO3,La_Ca_Mn_O,217.1279373,,0.006330747,0.060557346,0.98071189,,Pnma,Pnma,From Daryl Schlom,,,,,,,,,Mn,3.3
LaCoO3,La_Co_O,500.3655352,,5.198876303,166.1062181,1.504476406,,R-3c,R-3c,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.53.R2926,,,,,,,,Co,3
NbO2,Nb_O,1059.738903,,0.00107704,0.0041451,0.585303076,,P42/mnm,I41/a,From Daryl Schlom,https://doi.org/10.1139/p74-297,,,,,,,,Nb,4
Ti2O3,Ti_O,466.5274151,,0.000607462,0.006363678,1.020189034,,R-3c,R-3c,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.8.1364,,,,,,,,Ti,3
Ti3O5,Ti_O,357.9112272,,17.00478483,1226.740992,1.858181737,,C12/c1,P12/a1,From Daryl Schlom,https://doi.org/10.1006/jssc.1997.7657,,,,,,,,Ti,3.33
Ti4O7,Ti_O,154.0469974,,0.060454164,116.5765792,3.28518509,,P-1,P-1,From Daryl Schlom,https://doi.org/10.1103/PhysRevB.14.1429,,,,,,,,Ti,3.5
V2O3,V_O,140.6788512,,0.000279427,35737.09519,8.106850229,,R-3c,C12/c1,From Daryl Schlom,https://doi.org/10.1016/j.ssc.2003.10.024,,,,,,,,V,3
V3O5,V_O,425.1697128,,0.012211335,0.517673982,1.627293188,,C12/c1,P12/c1,From Daryl Schlom,https://doi.org/10.1134/S106378341112002X,,,,,,,,V,3.33
V4O7,V_O,202.0887728,,0.003379407,0.23886266,1.849307795,,P-1,P-1,From Daryl Schlom,https://doi.org/10.1134/S1063783409110067,,,,,,,,V,3.5
V5O9,V_O,129.8172324,,0.002377673,9931.388206,6.620857834,,P-1,P-1,From Daryl Schlom,https://doi.org/10.1016/0022-4596(73)90189-8,,,,,,,,V,3.6
V6O11,V_O,173.6814621,,0.07998419,38.16095429,2.678615078,,P-1,,From Daryl Schlom,https://doi.org/10.1016/0022-4596(73)90189-8,,,,,,,,V,3.67
V8O15,V_O,68.40731071,,0.001027118,2.441638628,3.37606107,,P-1,,From Daryl Schlom,https://doi.org/10.1016/0375-9601(70)90836-4,,,,,,,,V,3.75
VO,V_O,115.613577,,0.011570461,8052.689778,5.842590301,,Fm-3m,,From Daryl Schlom,,,,,,,,,V,2
VO2,V_O,334.0992167,,0.000130239,19.50147196,5.175325583,,P42/mnm,P12/m1,From Daryl Schlom,https://doi.org/10.1016/0038-1098(69)90888-6,,,,,,,,V,4
EuCu3Fe4O12,,238.9,227.21,1.535,2908,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
LaCu3Fe4O12,,366.4,358.3,1.799,65.8,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
PrCu3Fe4O12,,303.4,288.3,1.793,257.2,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
NdCu3Fe4O12,,285.4,260.76,1.715,810,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
SmCu3Fe4O12,,268.8,249.3,1.13,1006.3,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
GdCu3Fe4O12,,220.5,176.215,1.824,63103,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
TbCu3Fe4O12,,243.1,226.3,1.569,8984,,,,,Normalized resistivity,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
DyCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
HoCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
ErCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
TmCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
YbCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
LuCu3Fe4O12,,,,,,,,,,,https://doi.org/10.1021/ic402344m,,,,,,,,Fe,3.75
